Greenhous Gas Concentrations and Forcing
   Age     CO2       CH4       Fghgs
  99.8    225.90    530.02    -1.242
 100.0    226.56    530.45    -1.223
 100.2    227.58    539.60    -1.184
 100.4    228.59    544.46    -1.150
 100.6    229.60    539.13    -1.128
 100.8    230.63    543.60    -1.095
 101.0    231.89    543.63    -1.060
 101.2    233.23    539.11    -1.029
 101.4    234.57    540.18    -0.992
 101.6    235.90    521.89    -0.978
 101.8    236.57    504.27    -0.982
 102.0    235.61    494.30    -1.020
 102.2    234.59    503.70    -1.036
 102.4    233.56    489.82    -1.081
 102.6    232.54    472.29    -1.131
 102.8    231.51    470.73    -1.161
 103.0    230.48    483.94    -1.173
 103.2    229.46    500.50    -1.180
 103.4    228.47    512.43    -1.192
 103.6    229.06    534.17    -1.149
 103.8    230.48    557.91    -1.082
 104.0    231.90    568.60    -1.030
 104.2    233.32    575.74    -0.983
 104.4    234.74    581.51    -0.938
 104.6    236.16    593.58    -0.886
 104.8    236.25    600.35    -0.876
 105.0    234.90    595.92    -0.917
 105.2    233.54    583.85    -0.968
 105.4    232.19    579.03    -1.010
 105.6    230.95    604.16    -1.015
 105.8    231.24    612.06    -0.998
 106.0    232.02    601.94    -0.988
 106.2    232.81    596.95    -0.973
 106.4    233.59    593.12    -0.956
 106.6    234.37    569.90    -0.962
 106.8    235.15    501.95    -1.023
 107.0    235.94    464.27    -1.050
 107.2    236.72    448.21    -1.050
 107.4    237.50    456.20    -1.019
 107.6    238.61    461.42    -0.982
 107.8    241.05    464.08    -0.914
 108.0    243.63    469.31    -0.840
 108.2    245.69    475.10    -0.779
 108.4    246.44    480.69    -0.752
 108.6    247.12    487.38    -0.726
 108.8    247.79    498.41    -0.695
 109.0    248.47    505.40    -0.669
 109.2    249.15    499.08    -0.659
 109.4    249.83    498.71    -0.642
 109.6    250.51    506.33    -0.616
 109.8    251.17    505.92    -0.599
 110.0    251.73    502.99    -0.589
 110.2    252.26    503.79    -0.575
 110.4    252.79    501.90    -0.563
 110.6    253.33    494.48    -0.559
 110.8    253.86    493.63    -0.547
 111.0    254.40    493.57    -0.534
 111.2    254.93    480.59    -0.537
 111.4    255.47    473.14    -0.533
 111.6    256.00    473.68    -0.519
 111.8    256.55    465.87    -0.515
 112.0    257.65    456.46    -0.500
 112.2    259.02    455.17    -0.468
 112.4    260.39    457.37    -0.432
 112.6    261.76    462.48    -0.391
 112.8    263.13    465.18    -0.354
 113.0    264.50    464.37    -0.322
 113.2    265.83    456.49    -0.301
 113.4    265.49    456.31    -0.309
 113.6    264.32    468.94    -0.321
 113.8    263.14    470.69    -0.347
 114.0    261.97    471.17    -0.375
 114.2    264.09    472.02    -0.322
 114.4    269.29    472.85    -0.196
 114.6    273.78    473.36    -0.090
 114.8    274.00    473.22    -0.085
 115.0    273.50    474.97    -0.094
 115.2    272.56    493.70    -0.092
 115.4    271.02    498.68    -0.122
 115.6    269.47    497.28    -0.161
 115.8    267.92    499.99    -0.194
 116.0    266.38    496.85    -0.235
 116.2    264.83    499.53    -0.269
 116.4    263.28    510.14    -0.294
 116.6    262.90    527.41    -0.282
 116.8    263.72    540.07    -0.246
 117.0    264.54    537.20    -0.230
 117.2    265.35    538.83    -0.208
 117.4    266.17    546.23    -0.180
 117.6    266.99    547.18    -0.159
 117.8    267.95    547.61    -0.135
 118.0    269.30    546.90    -0.104
 118.2    270.65    568.13    -0.047
 118.4    272.01    571.43    -0.011
 118.6    273.31    570.18     0.018
 118.8    273.43    577.65     0.030
 119.0    273.08    580.52     0.025
 119.2    272.73    587.25     0.025
 119.4    272.38    571.33    -0.002
 119.6    272.01    570.01    -0.012
 119.8    270.69    567.88    -0.046
 120.0    268.80    572.65    -0.085
 120.2    266.92    570.88    -0.132
 120.4    266.04    580.77    -0.142
 120.6    269.46    601.45    -0.036
 120.8    273.36    606.64     0.062
 121.0    276.86    599.19     0.135
 121.2    276.84    605.31     0.141
 121.4    276.01    611.74     0.129
 121.6    275.18    607.70     0.105
 121.8    274.35    605.01     0.083
